,PetID,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,State,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed
9706,65b70bad8,Cat,Sweet Pea And Oliver,2,Domestic Short Hair,Domestic Short Hair,Mixed,Golden,White,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,2,0,0,12.0,2
9707,8a1e12a30,Cat,Hui Pow And Huang Pow,28,Maine Coon,Maine Coon,Mixed,Yellow,Gray,White,Extra Large,Long,Yes,Yes,No,Healthy,Sarawak,2,600,0,11.0,4
9708,50fc25dbe,Cat,Kittens For Adoption~,2,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Gray,Gray,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,4,0,0,3.0,3
9709,d0866146d,Cat,Sylvia,18,Domestic Short Hair,Domestic Short Hair,Female,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,5.0,4
9710,15f0dc937,Cat,Still Water,1,Siamese,Siamese,Mixed,Brown,Gray,White,Small,Short,No,No,No,Healthy,Selangor,4,0,0,5.0,3
9711,95708d284,Cat,Tom Angus,5,Tabby,Domestic Short Hair,Male,Golden,White,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,8.0,3
9712,9ceada263,Cat,Roro,7,Domestic Short Hair,Domestic Short Hair,Female,Yellow,Cream,White,Medium,Short,No,No,No,Healthy,Selangor,1,50,0,2.0,4
9713,16748bcd7,Cat,Mama N 5 Kitties,24,Domestic Short Hair,Domestic Short Hair,Female,Brown,Brown,Brown,Large,Short,No,No,No,Healthy,Kuala Lumpur,6,0,0,4.0,1
9714,2a726e0a2,Cat,Kitten 3,1,Domestic Short Hair,Domestic Short Hair,Female,Black,Yellow,White,Small,Short,No,No,No,Healthy,Selangor,1,0,0,1.0,4
9715,f97d14e01,Dog,Teddy & MeiMei,24,Poodle,Poodle,Mixed,Brown,Cream,Cream,Small,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,2,350,0,3.0,3
9716,ddeeba131,Dog,Melody,1,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Short,No,Yes,No,Healthy,Selangor,7,0,0,3.0,2
9717,028d42a4b,Cat,Girl Kitten,3,Domestic Short Hair,Tabby,Female,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,6.0,2
9718,ca121ab91,Dog,NO NAME YET,4,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,2,0,0,1.0,3
9719,5b9d80473,Cat,2,3,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Small,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,1.0,4
9720,c95af948c,Cat,Lao Da,1,Domestic Short Hair,Domestic Short Hair,Male,Brown,Yellow,White,Small,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,2.0,2
9721,6d474edc5,Cat,Kitten A & B,2,Domestic Short Hair,Domestic Short Hair,Male,Black,Gray,Gray,Medium,Short,No,No,No,Healthy,Selangor,2,0,0,4.0,2
9722,c52b99ee2,Cat,Cleopatra,13,Domestic Medium Hair,Domestic Medium Hair,Female,Black,Brown,White,Large,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,5.0,4
9723,d755e40d7,Dog,Jackie,18,Shih Tzu,Shih Tzu,Male,Brown,Cream,White,Small,Medium,Yes,Yes,Yes,Minor Injury,Kuala Lumpur,1,0,0,1.0,1
9724,48cd2ebaa,Dog,Zorra@Sunday,2,Mixed Breed,Terrier,Female,Black,White,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,8.0,3
9725,e6c917eb2,Cat,Am,3,Persian,Domestic Medium Hair,Male,Cream,Cream,Cream,Small,Long,No,Yes,No,Healthy,Selangor,1,300,0,4.0,4
9726,9a798bc44,Cat,Still Water,3,Domestic Short Hair,Domestic Short Hair,Female,Black,White,White,Large,Short,No,Yes,No,Healthy,Melaka,1,0,0,3.0,2
9727,d202e4c9c,Dog,Zone F1 A2,36,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Medium,Yes,Yes,NA,Healthy,Selangor,1,0,0,3.0,4
9728,c6a2b6ae1,Dog,Gou Gou,4,Mixed Breed,Mixed Breed,Male,Black,White,White,Small,Short,Yes,No,No,Healthy,Selangor,1,0,1,2.0,4
9729,84998166f,Dog,Zoey,4,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,1.0,4
9730,ae2c2b372,Cat,Kiki,2,Domestic Short Hair,Domestic Short Hair,Male,Gray,Gray,Gray,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,1.0,2
9731,0afb7e845,Cat,Baby Delta,2,Domestic Short Hair,Domestic Short Hair,Male,Black,Brown,White,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,7.0,2
9732,79a352e54,Dog,Troy,12,Terrier,Mixed Breed,Male,Gray,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,10.0,4
9733,598479067,Cat,Lolly And Her Kittens,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Golden,White,Small,Short,No,No,No,Healthy,Selangor,6,0,0,3.0,2
9734,fb1a745e6,Dog,Chester ( Schnauzer),12,Schnauzer,Poodle,Male,Gray,Gray,Gray,Small,Medium,Yes,Yes,NA,Healthy,Kuala Lumpur,1,100,0,2.0,0
9735,0a1b57b57,Cat,Still Water,12,Domestic Short Hair,Domestic Short Hair,Male,Black,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,1.0,1
9736,ab1cfc949,Cat,Putih,12,Domestic Medium Hair,Domestic Medium Hair,Female,White,White,White,Medium,Medium,NA,NA,NA,Healthy,Melaka,1,0,0,1.0,4
9737,2e76362c0,Cat,"Keen,roku,stow,curly,browny",7,Domestic Medium Hair,Domestic Medium Hair,Mixed,Brown,Golden,Golden,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,5,0,0,9.0,4
9738,1d5870131,Dog,Litty Puppy,1,Mixed Breed,Mixed Breed,Male,Brown,Gray,White,Small,Medium,No,No,NA,Healthy,Selangor,1,0,0,3.0,2
9739,516646a4f,Cat,Purrdy,3,Domestic Short Hair,Domestic Short Hair,Female,Black,Gray,White,Small,Short,No,Yes,No,Healthy,Selangor,1,0,0,4.0,1
9740,879c40dfa,Dog,Shih Tzu,2,Shih Tzu,Shih Tzu,Mixed,Black,Brown,White,Small,Long,No,No,No,Healthy,Kuala Lumpur,3,250,0,5.0,1
9741,ef91ae200,Cat,Tungau,18,Domestic Short Hair,Domestic Medium Hair,Female,Brown,Golden,White,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,3.0,3
9742,0d873789a,Dog,Brownie The Puppies,3,Mixed Breed,Mixed Breed,Mixed,Black,Brown,Golden,Medium,Short,No,No,No,Healthy,Selangor,4,0,0,1.0,3
9743,964cf32b1,Cat,Still Water,2,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,Gray,Small,Short,No,NA,No,Healthy,Selangor,3,0,0,3.0,1
9744,8cba08869,Cat,Chessie,12,Calico,Calico,Female,Black,Golden,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,1.0,3
9745,619d6fdf8,Dog,Oscar,24,Rottweiler,Rottweiler,Male,Black,Brown,Brown,Large,Short,No,Yes,Yes,Healthy,Selangor,1,800,0,7.0,2
9746,fe879c04e,Dog,Still Water,1,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Large,Short,No,No,No,Healthy,Selangor,2,0,0,3.0,1
9747,c90570913,Dog,Leslie,12,Rottweiler,Mixed Breed,Male,Black,Brown,Brown,Large,Short,NA,NA,Yes,Healthy,Selangor,1,0,0,5.0,3
9748,b690774cb,Dog,Luke,3,Mixed Breed,Mixed Breed,Male,Brown,Cream,White,Medium,Medium,No,No,No,Healthy,Pulau Pinang,1,0,0,4.0,3
9749,78599649f,Dog,Still Water,6,Terrier,Poodle,Mixed,Cream,White,White,Medium,Medium,Yes,Yes,NA,Healthy,Kedah,3,100,0,3.0,1
9750,3ef52fe8b,Cat,Tummy For Adoption!!!,4,Domestic Short Hair,Domestic Short Hair,Male,Black,White,White,Small,Short,No,Yes,No,Healthy,Pulau Pinang,1,0,0,4.0,1
9751,059cfed40,Dog,Hiroki,3,Husky,Bearded Collie,Male,Black,White,White,Medium,Long,Yes,Yes,No,Healthy,Selangor,1,250,0,7.0,3
9752,65829d12f,Dog,Fifi,13,Terrier,Mixed Breed,Female,White,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,6.0,3
9753,ce4484c3d,Cat,Kuning2,5,Domestic Short Hair,Domestic Short Hair,Mixed,Yellow,White,White,Medium,Short,No,No,No,Healthy,Selangor,5,50,0,1.0,4
9754,af8138fea,Cat,Cara & Kids,2,Domestic Medium Hair,Domestic Medium Hair,Mixed,Black,Brown,Brown,Small,Medium,No,No,No,Healthy,Selangor,4,0,0,1.0,4
9755,a1fc6f0bb,Cat,Tony & Jessica,3,Bengal,Bengal,Mixed,Black,Gray,White,Medium,Medium,No,Yes,NA,Minor Injury,Kuala Lumpur,2,0,0,3.0,4
9756,c1577c976,Dog,Xiao Chou,2,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,7.0,4
9757,1c8a8385e,Dog,Buddy Jr,42,German Shepherd Dog,Mixed Breed,Male,Black,Black,Black,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,350,0,1.0,4
9758,deaba5702,Cat,White Tiger (Bengal Mix),1,Bengal,Domestic Short Hair,Female,Black,Gray,Gray,Medium,Short,No,No,No,Healthy,Selangor,1,50,0,5.0,1
9759,a34b7e199,Cat,Boy,54,Persian,Persian,Male,Brown,Brown,Brown,Large,Long,NA,NA,No,Minor Injury,Pulau Pinang,1,0,0,1.0,1
9760,3d9ee26e3,Dog,Ong Ong Pups,1,Mixed Breed,Mixed Breed,Female,Yellow,Yellow,Yellow,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,2,0,2,6.0,4
9761,c7a324d3d,Dog,Botak,2,Mixed Breed,Mixed Breed,Male,Black,Cream,Cream,Medium,Short,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,2.0,3
9762,678d21531,Dog,Dash,36,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,5.0,4
9763,107d56dc4,Dog,Caspar,4,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,9.0,2
9764,969b9bb00,Cat,Gendut And The Babies,12,Domestic Medium Hair,Domestic Medium Hair,Mixed,Black,Gray,White,Medium,Medium,No,No,No,Healthy,Kuala Lumpur,4,0,0,7.0,2
9765,646fe5d09,Dog,Prem,84,Shar Pei,Shar Pei,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,NA,Healthy,Kuala Lumpur,1,0,0,3.0,3
9766,e2e5b8ae2,Dog,Still Water,3,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,2.0,2
9767,046dcb8fb,Cat,Dorothy And Jasmine,7,Siamese,Domestic Short Hair,Female,Brown,Cream,Cream,Medium,Short,Yes,Yes,NA,Healthy,Selangor,2,0,0,4.0,4
9768,5b26ccfdf,Dog,Chinny,3,Mixed Breed,Mixed Breed,Male,Black,White,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,50,0,1.0,2
9769,d16f1d371,Dog,Biscuits,72,Beagle,Beagle,Female,Brown,Yellow,White,Medium,Short,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,1.0,3
9770,7b22d0224,Dog,Sheena,8,Terrier,Terrier,Female,Cream,White,White,Small,Long,Yes,Yes,NA,Healthy,Selangor,1,200,0,2.0,2
9771,cea713af9,Dog,Daisy,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,4.0,3
9772,24af5742e,Dog,LittleBear,2,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,11.0,3
9773,ae84e47c8,Dog,Hazel,4,Hound,Mixed Breed,Female,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,4
9774,64dbb2214,Dog,Puppy,2,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Small,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,4
9775,549c35706,Dog,Sandy Girl,2,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,No,Yes,No,Healthy,Pulau Pinang,1,0,0,3.0,1
9776,832110a99,Dog,Rockia's,2,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Medium,No,No,No,Healthy,Perak,9,0,0,9.0,4
9777,4622342f4,Cat,Snowy,8,Domestic Medium Hair,Domestic Medium Hair,Male,White,White,White,Medium,Medium,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,5.0,3
9778,ccf8c71f6,Dog,MooMoo (KL Or Perak Area),4,Dachshund,Dalmatian,Male,Black,Cream,White,Medium,Short,NA,Yes,No,Healthy,Perak,1,0,1,11.0,1
9779,eff316e87,Dog,Sasha,24,Mixed Breed,Mixed Breed,Female,Brown,Brown,Brown,Medium,Medium,NA,NA,NA,Healthy,Negeri Sembilan,20,0,0,1.0,4
9780,ee34f3079,Dog,Boy Boy,2,Mixed Breed,Mixed Breed,Male,Cream,White,White,Medium,Short,No,No,No,Healthy,Pulau Pinang,1,5,0,4.0,1
9781,021b0b7bd,Dog,Stevie,96,Silky Terrier,Silky Terrier,Male,Brown,Brown,Brown,Small,Medium,NA,NA,No,Healthy,Selangor,1,0,0,1.0,4
9782,fe7b03ebd,Cat,Still Water,1,Persian,Persian,Female,White,White,White,Medium,Long,No,No,No,Healthy,Selangor,1,800,0,3.0,2
9783,d71310023,Cat,Danny,1,Domestic Medium Hair,Domestic Medium Hair,Male,Black,Gray,Gray,Medium,Medium,No,No,No,Healthy,Selangor,1,0,0,4.0,1
9784,49b868ae2,Dog,Callie,20,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,1,4.0,4
9785,487416da5,Cat,Ebam,8,Domestic Short Hair,Domestic Short Hair,Female,Brown,Yellow,White,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,5.0,3
9786,529c2e04b,Dog,Stray Puppies,2,Mixed Breed,Mixed Breed,Mixed,Black,White,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,9,0,0,3.0,1
9787,84c0ff0a2,Cat,Thumbelina,8,Domestic Short Hair,Domestic Short Hair,Female,Black,Yellow,White,Small,Short,Yes,Yes,NA,Healthy,Selangor,1,0,0,2.0,3
9788,1d911bffb,Dog,Awang,72,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Medium,Yes,Yes,Yes,Healthy,Johor,1,0,0,3.0,4
9789,b968b85c1,Dog,Puppy Girl,3,Mixed Breed,Rottweiler,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,2.0,3
9790,d937730d8,Cat,Cute Kitten For Adoption,3,Domestic Short Hair,Domestic Short Hair,Male,Gray,White,White,Medium,Short,No,Yes,No,Healthy,Pahang,1,0,0,6.0,3
9791,6cbbe5cd9,Dog,Strong And Handsome Male Puppies,16,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,2,300,0,5.0,4
9792,ae0425756,Cat,Adult Cat(1year) And 2 Kittens(2-3mnths),12,Domestic Medium Hair,Domestic Medium Hair,Mixed,Golden,Cream,White,Small,Medium,Yes,Yes,No,Healthy,Kuala Lumpur,3,0,0,5.0,1
9793,d29627289,Dog,Darshan,1,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Medium,NA,NA,No,Healthy,Selangor,1,0,0,4.0,4
9794,dda9d6e6a,Cat,Ali,12,Domestic Short Hair,Domestic Short Hair,Male,Black,Gray,White,Medium,Medium,Yes,Yes,No,Healthy,Selangor,1,0,0,1.0,1
9795,c2b92d7a0,Dog,Still Water,24,Mixed Breed,Mixed Breed,Male,White,White,White,Medium,Short,NA,NA,NA,Minor Injury,Melaka,1,20,0,1.0,4
9796,48cb3c66a,Dog,Litto,2,Mixed Breed,Mixed Breed,Female,Yellow,Yellow,Yellow,Medium,Short,Yes,Yes,No,Healthy,Kuala Lumpur,1,0,0,1.0,1
9797,1cfc647dc,Dog,Phoebe,84,Cocker Spaniel,Cocker Spaniel,Female,Black,Gray,White,Medium,Long,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,1
9798,61338b2e9,Dog,Jedi / Jasper / Joy,1,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Short,No,No,No,Healthy,Perak,3,0,0,9.0,4
9799,429017e9a,Dog,Dudu,2,Doberman Pinscher,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,5.0,3
9800,bc4f18ced,Dog,Puppies For Adoption (6 Of Them),3,Mixed Breed,Mixed Breed,Mixed,Black,Brown,White,Medium,Short,No,No,No,Healthy,Johor,6,0,0,1.0,3
9801,a1a9e48a6,Dog,Fragile,1,Mixed Breed,Mixed Breed,Female,Black,Brown,Yellow,Small,Medium,No,No,No,Healthy,Selangor,1,0,0,4.0,2
9802,d1ef0568d,Cat,MOMOT,12,Calico,Calico,Female,Black,Yellow,White,Medium,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,0,0,1.0,4
9803,7133c0c97,Dog,Still Water,3,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,4.0,1
9804,86629a3ee,Dog,YUMI,5,Mixed Breed,Mixed Breed,Female,Black,Brown,White,Medium,Medium,Yes,Yes,No,Healthy,Pulau Pinang,1,150,1,2.0,0
9805,b9f90bdfe,Dog,Maxx & Daxx,46,Mixed Breed,Mixed Breed,Male,Black,Brown,White,Medium,Medium,Yes,Yes,Yes,Healthy,Kuala Lumpur,2,0,0,6.0,3
9806,ff50c6171,Cat,Gari,4,Bengal,Bengal,Female,Black,Brown,Gray,Small,Short,No,NA,No,Healthy,Selangor,1,50,0,5.0,4
9807,f0f6f4bd2,Cat,Tumble,1,Domestic Long Hair,Domestic Long Hair,Male,Black,White,White,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,1.0,1
9808,7595f467b,Dog,Still Water,12,Mixed Breed,Mixed Breed,Male,Brown,White,White,Medium,Medium,NA,NA,NA,Healthy,Kuala Lumpur,1,0,0,3.0,1
9809,e9a47e731,Cat,Bobby Jr.,0,Domestic Medium Hair,Domestic Medium Hair,Male,Black,White,White,Medium,Medium,No,No,No,Minor Injury,Kuala Lumpur,1,0,0,3.0,0
9810,192303603,Dog,Pretty,36,Poodle,Poodle,Female,Black,Gray,Gray,Small,Medium,NA,Yes,No,Healthy,Selangor,1,0,0,2.0,0
9811,45f8df95e,Dog,Saved From The Pound,1,Mixed Breed,Mixed Breed,Mixed,Brown,Brown,Brown,Medium,Medium,No,Yes,No,Healthy,Kuala Lumpur,2,0,0,3.0,3
9812,ed9885dcd,Dog,Female Schnauzer,60,Schnauzer,Schnauzer,Female,Black,Cream,White,Small,Short,Yes,Yes,Yes,Healthy,Selangor,1,300,0,2.0,3
9813,c5b5d2650,Dog,Cola,12,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,250,0,2.0,4
9814,ce3a876b1,Cat,Peanut & Scruffy,4,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Yellow,Gray,Medium,Short,No,No,No,Healthy,Selangor,2,0,0,4.0,4
9815,5fde0ce59,Cat,Katniss,1,Domestic Short Hair,Domestic Short Hair,Female,Black,Gray,White,Medium,Short,No,Yes,No,Healthy,Selangor,1,0,0,7.0,1
9816,6c896760b,Cat,Tuah & Happy,3,Domestic Short Hair,Domestic Short Hair,Male,Cream,Gray,White,Medium,Short,Yes,No,No,Healthy,Kuala Lumpur,2,0,0,5.0,1
9817,12653b9bc,Dog,Daisie,2,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,3.0,2
9818,bcf657071,Dog,Yuuki,12,Mixed Breed,Mixed Breed,Female,Black,Brown,Yellow,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,2
9819,51c72aa92,Cat,Beautiful Kittens For Adoptions !,0,Domestic Medium Hair,Egyptian Mau,Mixed,Black,Gray,White,Medium,Medium,No,No,No,Healthy,Selangor,4,100,0,2.0,1
9820,5fdd708f3,Cat,Four Adorable Newborn Kittens,1,Domestic Short Hair,Calico,Mixed,Yellow,Gray,White,Medium,Medium,No,No,No,Healthy,Selangor,4,0,0,4.0,2
9821,314e041cc,Dog,Tom,1,Mixed Breed,Mixed Breed,Male,Black,Brown,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,4.0,3
9822,0fae8116c,Dog,Brownie The Active Cutie â¥,4,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,3
9823,ea4c18b67,Dog,Pocoyo,39,Mixed Breed,Mixed Breed,Male,White,White,White,Small,Long,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,4
9824,efbe1f3ef,Cat,"Black, Wacky, Bieno & E.T",1,Domestic Medium Hair,Domestic Medium Hair,Mixed,Black,Brown,Yellow,Small,Medium,No,No,No,Healthy,Selangor,4,0,0,6.0,2
9825,ba04f3e21,Dog,6 Puppies,2,Mixed Breed,Mixed Breed,Mixed,Cream,White,White,Medium,Short,No,No,No,Healthy,Selangor,6,0,0,5.0,3
9826,8d0f8ad16,Cat,Siamese Mix Kitten,6,Siamese,Domestic Medium Hair,Female,Golden,White,White,Small,Short,Yes,Yes,Yes,Healthy,Pulau Pinang,1,0,0,3.0,2
9827,a0fd5da22,Dog,Cally,2,Mixed Breed,Mixed Breed,Female,Golden,Golden,Golden,Medium,Short,No,No,No,Healthy,Pulau Pinang,1,20,0,1.0,3
9828,30b9fbf81,Cat,Firsky,5,Domestic Short Hair,Domestic Short Hair,Male,Yellow,White,White,Medium,Short,Yes,Yes,Yes,Healthy,Kuala Lumpur,1,100,0,1.0,4
9829,3821d75e9,Dog,Siblings For Adoption,4,Mixed Breed,Mixed Breed,Mixed,Black,Black,Black,Small,Medium,NA,NA,No,Healthy,Perak,2,0,0,5.0,2
9830,20f05426f,Dog,"Browny, Whitney, Pony",3,Mixed Breed,Mixed Breed,Mixed,Brown,Cream,White,Small,Short,No,No,No,Healthy,Kuala Lumpur,3,0,0,4.0,4
9831,bac34e381,Dog,Milo,2,Mixed Breed,Mixed Breed,Female,Black,Brown,Brown,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,0,0,4.0,2
9832,c4ff3b712,Dog,Missha,3,English Pointer,Mixed Breed,Male,Black,White,White,Medium,Short,NA,NA,No,Healthy,Selangor,1,0,0,1.0,2
9833,7f3781bec,Cat,Raggy,2,Ragdoll,Domestic Long Hair,Female,Brown,Cream,White,Small,Medium,No,No,No,Healthy,Kuala Lumpur,1,0,0,0.0,4
9834,063521459,Dog,Abree,2,Belgian Shepherd Malinois,Mixed Breed,Female,Black,Brown,Brown,Medium,Medium,NA,NA,No,Healthy,Selangor,1,0,0,4.0,2
9835,8a9c5472e,Cat,LOKI & LULU,1,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Brown,Brown,Small,Short,No,Yes,No,Healthy,Kuala Lumpur,2,0,0,3.0,3
9836,0e1a54250,Dog,Jessie,6,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Large,Medium,Yes,Yes,Yes,Healthy,Perak,1,0,1,6.0,4
9837,ce768b010,Dog,A88,2,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,3.0,3
9838,619dcb4e6,Dog,Kuro,60,Mixed Breed,Mixed Breed,Female,Black,Black,Black,Medium,Short,NA,NA,No,Minor Injury,Kuala Lumpur,1,0,0,3.0,4
9839,e4dd90768,Dog,Horlicks,1,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,8.0,1
9840,918fab9e8,Cat,Kitty,2,Domestic Short Hair,Domestic Short Hair,Mixed,Black,Yellow,White,Small,Short,No,No,No,Healthy,Selangor,2,0,0,3.0,2
9841,10e1cbfdd,Dog,Morrow,4,Mixed Breed,Mixed Breed,Male,Black,Brown,Brown,Medium,Medium,No,Yes,No,Healthy,Kuala Lumpur,1,0,0,6.0,3
9842,49d1423d5,Dog,P15(230916),5,Doberman Pinscher,Labrador Retriever,Female,Black,Black,Black,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,1,0,0,3.0,2
9843,01e6a888d,Dog,Still Water,3,Mixed Breed,Mixed Breed,Mixed,Brown,Cream,Cream,Medium,Short,Yes,Yes,No,Healthy,Pulau Pinang,4,0,0,2.0,4
9844,e9a379c0e,Cat,Baby,6,Domestic Long Hair,Domestic Long Hair,Female,Golden,Golden,Golden,Large,Long,Yes,Yes,No,Healthy,Kuala Lumpur,1,100,0,1.0,4
9845,b414c5dd9,Dog,A3,1,Mixed Breed,Mixed Breed,Male,Black,Black,Black,Medium,Medium,No,Yes,No,Healthy,Selangor,1,0,0,3.0,1
9846,08e8e74c3,Cat,Einstein,2,Domestic Short Hair,Domestic Short Hair,Male,White,White,White,Medium,Short,No,No,No,Healthy,Kuala Lumpur,1,0,0,5.0,4
9847,79f358573,Dog,Scotty And Snowy,42,Japanese Chin,Mixed Breed,Mixed,Black,White,White,Medium,Medium,Yes,Yes,Yes,Healthy,Selangor,2,0,0,4.0,3
9848,001a1aaad,Cat,Cookie & Leo,7,Domestic Medium Hair,Domestic Medium Hair,Male,Brown,Golden,White,Medium,Medium,No,No,No,Healthy,Selangor,2,0,0,4.0,2
9849,5a4b6ea39,Cat,Bam Bam,2,Tabby,Domestic Short Hair,Male,Black,White,White,Medium,Short,Yes,Yes,No,Healthy,Selangor,1,50,0,4.0,1
9850,9c714104f,Dog,Haley,2,Mixed Breed,Mixed Breed,Female,Cream,Cream,Cream,Medium,Short,Yes,Yes,Yes,Healthy,Selangor,1,0,1,4.0,3
9851,ba030cdba,Dog,Patches,1,Mixed Breed,Mixed Breed,Female,Brown,White,White,Medium,Short,No,No,No,Healthy,Selangor,1,0,0,1.0,4
9852,b25d569cd,Cat,2 Cute Mix Breed Cats,7,Domestic Short Hair,Domestic Short Hair,Female,Gray,White,White,Medium,Short,No,No,NA,Healthy,Selangor,2,0,0,3.0,4
9853,c457ca802,Dog,Bailey,2,Mixed Breed,Mixed Breed,Male,Brown,Brown,Brown,Medium,Short,NA,NA,No,Healthy,Selangor,1,0,0,1.0,2
9854,488c8d0aa,Cat,Wikie,3,Domestic Short Hair,Domestic Short Hair,Male,Cream,Cream,Cream,Small,Short,NA,Yes,NA,Healthy,Kuala Lumpur,1,0,0,1.0,2
9855,31104de48,Cat,3 Abandoned Kittens,1,Tabby,Tabby,Mixed,Black,Gray,White,Small,Short,NA,NA,NA,Healthy,Selangor,3,0,0,3.0,1
